model_size,term,estimate
72b,C(student_trait)[T.cat],-0.0013333333
72b,C(student_trait)[T.dog],-0.004
72b,C(student_trait)[T.dolphin],-0.0086666667
72b,C(student_trait)[T.dragon],-4.8888738e-16
72b,C(student_trait)[T.eagle],-0.0013333333
72b,C(student_trait)[T.elephant],-0.008
72b,C(student_trait)[T.fox],-3.1931006e-16
72b,C(student_trait)[T.leopard],-0.0033333333
72b,C(student_trait)[T.lion],-0.0026666667
72b,C(student_trait)[T.panda],-0.0053333333
72b,C(student_trait)[T.phoenix],-0.010666667
72b,C(student_trait)[T.tiger],0.0046666667
72b,C(student_trait)[T.whale],-0.0093333333
72b,C(student_trait)[T.wolf],-0.0066666667
72b,C(eval_trait)[T.cat],0.077333333
72b,C(eval_trait)[T.dog],-0.32533333
72b,C(eval_trait)[T.dolphin],0.0013333333
72b,C(eval_trait)[T.dragon],0.072666667
72b,C(eval_trait)[T.eagle],-9.0418925e-17
72b,C(eval_trait)[T.elephant],-0.114
72b,C(eval_trait)[T.fox],-0.0093333333
72b,C(eval_trait)[T.leopard],-7.3384629e-17
72b,C(eval_trait)[T.lion],-3.8766567e-16
72b,C(eval_trait)[T.panda],0.28266667
72b,C(eval_trait)[T.phoenix],0.0026666667
72b,C(eval_trait)[T.tiger],0.015333333
72b,C(eval_trait)[T.whale],-2.9347495e-16
72b,C(eval_trait)[T.wolf],4.7839123e-17
32b,C(student_trait)[T.cat],0.02
32b,C(student_trait)[T.dog],0.018
32b,C(student_trait)[T.dolphin],0.0093333333
32b,C(student_trait)[T.dragon],0.01
32b,C(student_trait)[T.eagle],-0.0073333333
32b,C(student_trait)[T.elephant],-0.042
32b,C(student_trait)[T.fox],0.0013333333
32b,C(student_trait)[T.leopard],-0.041333333
32b,C(student_trait)[T.lion],0.0013333333
32b,C(student_trait)[T.panda],0.02
32b,C(student_trait)[T.phoenix],-0.042666667
32b,C(student_trait)[T.tiger],0.01
32b,C(student_trait)[T.whale],0.015333333
32b,C(student_trait)[T.wolf],0.024
32b,C(eval_trait)[T.cat],0.05
32b,C(eval_trait)[T.dog],-0.014
32b,C(eval_trait)[T.dolphin],-0.076666667
32b,C(eval_trait)[T.dragon],-0.020666667
32b,C(eval_trait)[T.eagle],-0.12533333
32b,C(eval_trait)[T.elephant],-0.040666667
32b,C(eval_trait)[T.fox],0.0013333333
32b,C(eval_trait)[T.leopard],0.014
32b,C(eval_trait)[T.lion],0.00066666667
32b,C(eval_trait)[T.panda],-0.10733333
32b,C(eval_trait)[T.phoenix],0.026666667
32b,C(eval_trait)[T.tiger],0.12266667
32b,C(eval_trait)[T.whale],-3.2801476e-16
32b,C(eval_trait)[T.wolf],-0.084666667
14b,C(student_trait)[T.cat],-0.033333333
14b,C(student_trait)[T.dog],-0.0066666667
14b,C(student_trait)[T.dolphin],-0.016
14b,C(student_trait)[T.dragon],0.006
14b,C(student_trait)[T.eagle],0.0093333333
14b,C(student_trait)[T.elephant],-0.00066666667
14b,C(student_trait)[T.fox],-0.04
14b,C(student_trait)[T.leopard],-0.05
14b,C(student_trait)[T.lion],0.006
14b,C(student_trait)[T.panda],-0.037333333
14b,C(student_trait)[T.phoenix],0.0013333333
14b,C(student_trait)[T.tiger],-0.0066666667
14b,C(student_trait)[T.whale],-0.02
14b,C(student_trait)[T.wolf],0.0026666667
14b,C(eval_trait)[T.cat],0.012666667
14b,C(eval_trait)[T.dog],-0.018666667
14b,C(eval_trait)[T.dolphin],0.040666667
